bank_name,branch_name,location,review_text,rating,review_date
CIH Bank Rabat,CIH Bank,"47 Av. Allal Ben Abdellah, Rabat 10000","Fin de service à 14h15 car c'est l'horaire ramadan !! Mais c'est une blague ?
Service pas sérieux, je ne recommande pas",1 étoile,il y a un mois
CIH Bank Rabat,CIH Bank,"47 Av. Allal Ben Abdellah, Rabat 10000","Malheureusement on ne peux faire zéro étoile.
Une application qui ne marche pas qui n'est pas claire .
En plus un service client qui répond pas et aucun téléphone ne répond.....
Nul",1 étoile,il y a 8 mois
CIH Bank Rabat,CIH Bank,"47 Av. Allal Ben Abdellah, Rabat 10000",... lol j'ai déjà fermer le compte et apres des moins ils m'ont dit que le compte n'a pas été fermer. …,2 étoiles,il y a 6 ans
Banque Populaire Rabat,Banque Populaire,"
X46M+69W, Rabat","L'agent de sécurité te donne un numéro d'attente mais les machines figurant les numéros ne marchent plus. Les box de virement, retrait et change ne sont pas indiqués. A améliorer.",3 étoiles,il y a 3 ans
Banque Populaire Rabat,Banque Populaire,"
X46M+69W, Rabat","service trop lent et ça dure depuis des années! c'est décidé, je change d'agence et espère trouver mieux ailleurs!",1 étoile,il y a 2 ans
Banque Populaire Rabat,Banque Populaire,"
X46M+69W, Rabat","Vous allez regretter d'avoir ouvert votre compte ici. Service nul, malheureusement il n'y a pas de notation zéro.",1 étoile,il y a 2 ans
BMCE Bank Rabat,BMCE Bank,"
X5W2+P2J, Rabat","Du jamais vu !!!
Lahawla wala kowaa:
Une agence bancaire BMCE/Banque Afriqua implantée en avenue de France à Rabat, …",1 étoile,il y a 3 mois
BMCE Bank Rabat,BMCE Bank,"
X5W2+P2J, Rabat","Le service à la clientèle laisse à désirer. Les conseillers ne dédient pas leur attention à un client et encore moins à celui/celle devant eux. À prévoir une attente de minimum une heure si besoin de plus que retirer de l'argent.
Endroit très petit et restraint... L'autre succursale à Rabat est mieux",2 étoiles,il y a 7 mois
BMCE Bank Rabat,BMCE Bank,"
X5W2+P2J, Rabat","Service nul et très lent (BMCE av de France, Rabat).
Leur num de téléphone ne sert à rien! Il répondent même pas!!!!",1 étoile,il y a 5 ans
Attijariwafa Bank Rabat,Attijariwafa Bank,"
X47W+7WF, P4017, Rabat",Ils sont incompétents. Pour régler un problème de carte guichet ou autre il faut faire beaucoup d’aller retour a la banque parce qu’ils ne font jamais ce dont le client a besoin. Je suis très insatisfait de cette agence précise. Le groupe attijari doit revoir les compétences et le niveau de formation des personnes qu’ils recrutent.,1 étoile,il y a 2 ans
Attijariwafa Bank Rabat,Attijariwafa Bank,"
X47W+7WF, P4017, Rabat",Ne répondent jamais ni au téléphone ni aux mails ! Complètement inutiles,1 étoile,il y a 4 ans
Attijariwafa Bank Rabat,Attijariwafa Bank,"
X47W+7WF, P4017, Rabat",Banque,5 étoiles,il y a 8 ans
